,3,4,5,6,9,10,11,14,16,18,22,31,33,44,47,55,63,77,88,99
44,01:15.196,01:14.686,01:19.511,01:16.772,,01:15.269,01:15.652,01:17.587,01:15.095,01:16.613,01:15.783,01:16.984,01:14.494,01:13.678,01:19.079,01:15.633,01:16.564,01:14.646,01:15.442,01:16.851
45,01:16.177,01:14.600,01:33.400,01:16.333,,01:15.540,01:17.947,01:16.814,01:15.253,01:16.288,01:16.101,01:16.228,01:13.832,01:14.505,01:16.145,01:15.260,01:16.279,01:14.412,01:15.780,01:16.159
46,01:16.064,01:14.379,01:15.206,01:16.751,,01:15.375,01:17.933,01:15.555,01:15.235,01:16.128,01:16.089,01:15.920,01:13.925,01:14.185,01:16.256,01:15.715,01:16.068,01:14.349,01:16.097,01:15.942
47,01:15.399,01:14.459,01:15.089,01:16.488,,01:15.259,01:19.540,01:16.042,01:15.394,01:15.981,01:16.134,01:15.933,01:13.676,01:14.123,01:18.505,01:15.777,01:16.057,01:14.366,01:15.829,01:15.954
48,01:15.424,01:14.236,01:15.927,01:16.160,,01:15.295,01:32.886,01:15.555,01:15.004,01:16.658,01:28.936,01:15.768,01:13.706,01:13.619,01:17.316,01:15.701,01:16.625,01:14.383,01:16.037,01:16.138
49,01:15.325,01:14.278,01:15.909,01:16.568,,01:15.454,01:13.534,01:15.770,01:15.318,01:16.543,,01:17.242,01:13.670,01:13.124,01:16.698,01:15.635,01:16.700,01:14.857,01:15.992,01:18.645
50,01:15.308,01:14.384,01:15.826,01:18.221,,01:15.974,01:13.511,01:16.125,01:15.093,01:16.284,,01:15.720,01:13.445,01:13.475,01:16.742,01:15.655,01:16.249,01:14.900,01:15.845,01:16.191
51,01:15.112,01:14.482,01:15.655,01:17.429,,01:15.989,01:14.208,01:16.754,01:15.029,01:15.995,,01:15.544,01:13.705,01:13.324,01:16.293,01:17.916,01:15.821,01:14.722,01:15.697,01:16.756
52,01:15.233,01:14.670,01:16.353,01:16.855,,01:15.399,01:14.522,01:14.964,01:14.821,01:15.918,,01:15.486,01:13.999,01:13.511,01:16.158,01:17.583,01:15.921,01:14.365,01:16.253,01:18.226
53,01:15.587,01:15.033,01:18.183,01:18.836,,01:15.483,01:15.497,01:14.780,01:15.823,01:15.747,,01:15.080,01:13.725,01:13.524,01:16.219,01:16.041,01:15.810,01:14.334,01:17.347,01:17.444
54,01:16.676,01:14.752,01:16.365,01:16.882,,01:15.105,01:14.412,01:14.525,01:15.270,01:15.661,,01:14.675,01:14.496,01:13.683,01:18.316,01:16.020,01:15.719,01:14.791,01:17.426,01:17.131
55,01:15.586,01:14.538,01:15.242,01:16.464,,01:15.314,01:14.056,01:14.526,01:14.837,01:15.834,,01:15.109,01:14.865,01:15.270,01:16.820,01:15.829,01:15.809,01:14.273,01:17.461,01:16.634
56,01:15.295,01:14.805,01:14.638,01:16.478,,01:14.916,01:13.913,01:14.490,01:14.860,01:15.800,,01:14.939,01:13.765,01:13.783,01:18.008,01:15.896,01:15.815,01:15.005,01:15.919,01:17.898
57,01:14.952,01:14.897,01:14.709,01:20.457,,01:14.818,01:13.581,01:14.324,01:14.852,01:15.611,,01:14.781,01:13.466,01:13.450,01:16.660,01:15.381,01:15.628,01:14.108,01:16.083,01:18.375
58,01:15.148,01:15.269,01:14.985,01:18.065,,01:14.882,01:13.609,01:14.592,01:14.780,01:15.794,,01:15.023,01:13.716,01:13.525,01:16.602,01:15.602,01:15.874,01:14.064,01:15.762,01:15.529
59,01:14.920,01:15.157,01:14.436,01:18.077,,01:15.082,01:13.461,01:14.382,01:14.900,01:16.108,,01:14.915,01:13.631,01:14.547,01:16.652,01:15.564,01:16.087,01:14.366,01:15.844,01:15.447
60,01:15.011,01:15.074,01:14.484,01:16.866,,01:14.866,01:13.527,01:14.323,01:14.787,01:16.354,,01:14.734,01:13.275,01:13.674,01:25.164,01:15.655,01:16.330,01:14.295,01:16.307,01:15.244
61,01:15.248,01:14.967,01:15.131,01:16.287,,01:14.868,01:14.507,01:14.744,01:14.904,01:16.294,,01:15.051,01:13.392,01:14.462,01:21.596,01:16.029,01:16.305,01:14.555,01:15.703,01:15.495
62,01:15.409,01:15.240,01:14.509,01:16.694,,01:14.859,01:15.325,01:15.951,01:14.837,01:16.051,,01:15.075,01:13.687,01:13.835,01:16.974,01:19.155,01:15.954,01:15.026,01:15.758,01:16.965
63,01:15.238,01:14.928,01:13.958,01:17.006,,01:15.191,01:14.926,01:15.610,01:16.832,01:16.368,,01:15.569,01:13.891,01:13.711,01:16.860,01:15.853,01:16.432,01:16.270,01:17.593,01:15.784
64,01:15.177,01:15.108,01:13.998,01:18.061,,01:15.131,01:14.882,01:16.124,01:17.754,01:16.523,,01:15.150,01:13.916,01:13.705,01:17.167,01:15.743,01:16.659,01:14.279,01:16.894,01:15.347
65,01:15.486,01:17.865,01:14.261,01:17.717,,01:15.430,01:15.584,01:15.382,01:16.058,01:17.436,,01:15.059,01:13.608,01:13.841,01:16.508,01:15.678,01:16.732,01:15.520,01:17.776,01:15.554
66,01:15.733,01:15.694,01:13.958,01:20.271,,01:16.185,01:14.403,01:16.210,01:15.852,01:20.618,,01:15.483,01:13.539,01:13.662,01:16.208,01:16.445,01:16.399,01:14.826,01:21.956,01:15.125
67,01:16.442,01:16.019,01:14.026,01:20.392,,01:18.037,01:14.996,01:16.320,01:15.432,01:16.765,,01:16.319,01:14.698,01:13.509,01:18.165,01:16.154,01:19.711,01:19.564,01:19.563,01:15.279
68,01:17.232,01:16.381,01:14.155,01:19.387,,01:17.262,01:15.183,01:16.202,01:15.458,01:17.687,,01:15.442,01:14.475,01:14.884,01:17.131,01:16.171,01:22.782,01:35.768,01:18.110,01:15.498
69,01:15.924,01:15.616,01:15.357,01:18.777,,01:16.135,01:15.538,01:15.977,01:15.269,01:18.231,,01:16.564,01:14.230,01:13.981,01:17.725,01:15.993,02:04.387,01:12.549,01:18.626,01:15.991
70,01:15.950,01:15.261,01:18.275,01:19.874,,01:15.563,01:15.289,01:16.162,01:16.589,01:16.181,,01:16.423,01:13.547,01:16.335,,01:16.464,,01:13.881,01:17.813,01:15.343
71,01:16.469,01:16.185,,,,01:16.153,01:17.455,01:15.369,01:16.544,,,01:16.699,01:14.050,01:32.729,,01:17.579,,01:15.369,,
72,,,,,,,,,,,,,01:14.756,01:11.097,,,,01:15.152,,
